met_id,feature,neutral_mass,mz,rt_min,compound_name,display_label,lipid_class,annotation_level,annotation_source,mass_error_ppm,QI_score,QI_fragmentation_score,reportable_putative,trajectory_direction,average_post_log2FC,average_post_fdr
MET493,2.68_810.6008m/z,,810.6007991,2.681133333,PC 38:4,MET493 (putative PC 38:4),Phosphatidylcholine,Putative QI annotation,Progenesis QI report,0.123365286724401,37.5,0,TRUE,lower,-0.869853554016821,0.00000010764213973478
MET632,3.13_754.5754m/z,,754.5753915,3.13155,"",MET632,Unassigned,Ambiguous LMSD candidates,LIPID MAPS LMSD ambiguous mass matches (5 ppm),1.19272376244727,,,FALSE,higher,2.05668184158886,0.000000435063027935396
MET416,2.45_756.5554m/z,,756.5554113,2.453616667,PC 32:0,MET416 (putative PC 32:0),Phosphatidylcholine,Putative QI annotation,Progenesis QI report,,36.4,0,TRUE,lower,-0.951586726709874,0.000000658563691950898
MET371,2.26_780.5566m/z,,780.5566348,2.26225,PC 34:2,MET371 (putative PC 34:2),Phosphatidylcholine,Putative QI annotation,Progenesis QI report,,36.4,0,TRUE,lower,-2.93149776556624,0.000000785095559004617
MET647,3.17_770.5706m/z,,770.5706338,3.171533333,PE 36:0,MET647 (putative PE 36:0),Phosphatidylethanolamine,Putative QI annotation,Progenesis QI report,4.67186243816083,37,0,TRUE,lower,-3.24607894007236,0.00000115993222067692
MET590,2.96_822.6428m/z,,822.6428394,2.960133333,"",MET590,Sphingolipid candidate,Ambiguous LMSD candidates,LIPID MAPS LMSD ambiguous mass matches (5 ppm),0.121559436502159,,,FALSE,higher,1.67394710969635,0.00000181465492876675
MET651,3.18_785.6557m/z,,785.655709,3.179566667,"",MET651,Unassigned,Ambiguous LMSD candidates,LIPID MAPS LMSD ambiguous mass matches (5 ppm),3.30933762743141,,,FALSE,higher,1.79795502551427,0.00000201683489820861
MET836,5.33_808.7785m/z,,808.7785484,5.333966667,Cer(t18:1(6OH)/33:0(33OH)),MET836 (putative Cer(t18:1(6OH)/33:0(33OH))),Sphingolipid candidate,Putative LMSD candidate from m/z-adduct search,LIPID MAPS LMSD m/z-adduct search (5 ppm),4.08022691319937,,,TRUE,higher,2.47180505725599,0.0000024050192671524
MET675,3.36_774.6383m/z,,774.638339,3.355066667,"",MET675,Unassigned,Ambiguous LMSD candidates,LIPID MAPS LMSD ambiguous mass matches (5 ppm),1.54911000344898,,,FALSE,higher,1.08757084973436,0.0000043555778812431
MET503,2.73_339.2906m/z,,339.2905782,2.732533333,Hippobutenolide A,MET503 (putative Hippobutenolide A),Unassigned,Putative LMSD candidate from m/z-adduct search,LIPID MAPS LMSD m/z-adduct search (5 ppm),3.53679140271511,,,TRUE,higher,2.1161835694328,0.00000580177795598712
MET413,2.44_743.5486n,743.5486111,744.5558876,2.43755,PE 36:2,MET413 (putative PE 36:2),Phosphatidylethanolamine,Putative QI annotation,Progenesis QI report,2.82047329820886,36.7,0,TRUE,lower,-2.64205421318633,0.00000608809542047871
MET353,2.13_385.2743m/z,,385.2743277,2.12665,"",MET353,Unassigned,Unassigned feature,No database assignment,,,,FALSE,higher,1.88716781372936,0.0000220060200157857
MET398,2.35_806.5717m/z,,806.5717468,2.346233333,PC 38:6,MET398 (putative PC 38:6),Phosphatidylcholine,Putative QI annotation,Progenesis QI report,2.8515752121557,38.5,0,TRUE,lower,-1.41669538156852,0.0000403951060829019
MET450,2.56_759.8862m/z,,759.886209,2.561033333,"",MET450,Unassigned,Unassigned feature,No database assignment,,,,FALSE,lower,-0.619317692788704,0.0000442882680317732
MET733,3.65_802.6756m/z,,802.6756067,3.654066667,"",MET733,Unassigned,Unassigned feature,No database assignment,,,,FALSE,higher,1.16364491093513,0.0000456102320167853
MET517,2.76_750.5427m/z,,750.5426906,2.760616667,"",MET517,Unassigned,Ambiguous LMSD candidates,LIPID MAPS LMSD ambiguous mass matches (5 ppm),0.666184623822383,,,FALSE,lower,-0.653167890023925,0.000109891163944876
MET466,2.61_705.5892m/z,,705.5891622,2.609033333,"",MET466,Sphingolipid candidate,Ambiguous LMSD candidates,LIPID MAPS LMSD ambiguous mass matches (5 ppm),1.84243192730831,,,FALSE,higher,1.51200940802197,0.000148937830982894
MET192,1.56_339.2879m/z,,339.2879062,1.555966667,"",MET192,Unassigned,Ambiguous LMSD candidates,LIPID MAPS LMSD ambiguous mass matches (5 ppm),2.65261444205287,,,FALSE,higher,0.643604294411772,0.000183235742533595
MET171,1.51_131.0713m/z,,131.0712949,1.50795,"",MET171,Unassigned,Unassigned feature,No database assignment,,,,FALSE,lower,-1.31590024362356,0.000191729682419275
MET515,2.76_609.5269m/z,,609.5268927,2.764616667,"",MET515,Unassigned,Unassigned feature,No database assignment,,,,FALSE,lower,-2.19464000662916,0.000219285303615669
MET442,2.53_734.0560m/z,,734.0560445,2.529716667,"",MET442,Unassigned,Unassigned feature,No database assignment,,,,FALSE,lower,-0.625972515350898,0.000316983848573496
MET505,2.74_341.3055m/z,,341.3054898,2.74055,"",MET505,Unassigned,Ambiguous LMSD candidates,LIPID MAPS LMSD ambiguous mass matches (5 ppm),1.46496325122984,,,FALSE,higher,4.40140779613043,0.000446211373761654
MET094,0.97_508.3749m/z,,508.3749454,0.96945,LPC 18:0,MET094 (putative LPC 18:0),Lysophosphatidylcholine,Putative QI annotation,Progenesis QI report,2.36046251070814,37.1,0,TRUE,higher,2.44757957379472,0.000458959752291628
MET464,2.60_760.0995m/z,,760.0995279,2.600983333,"",MET464,Unassigned,Unassigned feature,No database assignment,,,,FALSE,lower,-1.2249897768909,0.000748575713796142
MET451,2.56_760.0660m/z,,760.0659926,2.561033333,"",MET451,Unassigned,Unassigned feature,No database assignment,,,,FALSE,lower,-0.985457801002699,0.000767631212603213
MET765,4.11_197.0817m/z,,197.0817225,4.109116667,"",MET765,Unassigned,Unassigned feature,No database assignment,,,,FALSE,lower,-0.625668791781361,0.000798371998605797
MET435,2.52_729.5907m/z,,729.5906633,2.521683333,SM d18:1/18:1,MET435 (putative SM d18:1/18:1),Sphingomyelin,Putative QI annotation,Progenesis QI report,0.274126315015304,33.4,0,TRUE,higher,3.0290028732783,0.000921865694809516
MET059,0.32_274.2758m/z,,274.2757703,0.32365,FFA 16:0,MET059 (putative FFA 16:0),Free fatty acid,Putative QI annotation,Progenesis QI report,,36.8,0,TRUE,lower,-3.5355697803506,0.00174132189287636
MET767,4.11_794.6248n,794.6248102,795.6319584,4.109116667,CoQ9,MET767 (putative CoQ9),Ubiquinone,Putative LMSD candidate from QI-inferred neutral mass,LIPID MAPS LMSD search using QI-inferred neutral mass (5 ppm),3.89627385787021,,,TRUE,lower,-0.89561008526411,0.00177055705428886
MET364,2.22_704.5236m/z,,704.5235648,2.2222,"",MET364,Unassigned,Ambiguous LMSD candidates,LIPID MAPS LMSD ambiguous mass matches (5 ppm),1.56133883231041,,,FALSE,lower,-0.728338366723686,0.00862229949137427
MET193,1.56_678.4726m/z,,678.4726193,1.555966667,"",MET193,Unassigned,Ambiguous LMSD candidates,LIPID MAPS LMSD ambiguous mass matches (5 ppm),3.24257742673507,,,FALSE,higher,1.6296124940155,0.0203715684285788
MET634,3.13_785.6508m/z,,785.6508237,3.127533333,"",MET634,Unassigned,Ambiguous LMSD candidates,LIPID MAPS LMSD ambiguous mass matches (5 ppm),2.92750918171029,,,FALSE,higher,0.648293707958906,0.0208314978166544
MET652,3.20_759.6188n,759.6187839,798.640353,3.195533333,"",MET652,Phosphatidylcholine candidate,Ambiguous LMSD candidates,LIPID MAPS LMSD ambiguous mass matches (5 ppm),4.00680980866991,,,FALSE,higher,1.04651342645911,0.027771360603083
MET271,1.73_57.0700m/z,,57.0700134,1.72755,"",MET271,Unassigned,Unassigned feature,No database assignment,,,,FALSE,higher,0.775697197956792,0.0355816080119952
