met_id,feature,mz,rt_min,accepted_compound_id,accepted_description,adducts,formula,lipid_direction,lipid_average_post_log2FC,lipid_average_post_fdr,ensembl_gene_id,symbol,RNA_direction,RNA_average_post_log2FC,RNA_average_post_fdr,n_conditions,spearman_rho,p_value_unadjusted,fdr_BH_key_feature_space,absolute_spearman_rho,direction_relationship,leave_one_out_min_rho,leave_one_out_max_rho,leave_one_out_min_absolute_rho,leave_one_out_sign_consistent
MET634,3.13_785.6508m/z,785.6508237,3.127533333,"","","","",higher,0.648293707958906,0.0208314978166544,ENSMUSG00000101394,Gm28183,higher,1.22450144710613,0.000260821393695599,9,1,0.0000000000000000000000000000000000000000000000000000000474758610862443,0.000000000000000000000000000000000000000000000000000251007670260685,1,same passage direction,1,1,1,TRUE
MET640,3.15_759.6401m/z,759.6401046,3.147533333,SM008,20:0 SM (d18:1/20:0),M+H,C43H87N2O6P,higher,3.53170024274958,0.00000000189489682507808,ENSMUSG00000074766,Ism1,higher,1.39160590284138,0.000435010236910926,9,1,0.0000000000000000000000000000000000000000000000000000000474758610862443,0.000000000000000000000000000000000000000000000000000251007670260685,1,same passage direction,1,1,1,TRUE
MET767,4.11_794.6248n,795.6319584,4.109116667,"","","M+H, M+Na, M+K","",lower,-0.89561008526411,0.00177055705428886,ENSMUSG00000053093,Myh7,lower,-1.75083874727612,0.0000000000119625489913443,9,1,0.0000000000000000000000000000000000000000000000000000000474758610862443,0.000000000000000000000000000000000000000000000000000251007670260685,1,same passage direction,1,1,1,TRUE
MET171,1.51_131.0713m/z,131.0712949,1.50795,"","","","",lower,-1.31590024362356,0.000191729682419275,ENSMUSG00000028977,Casz1,lower,-1.02216788284018,0.00000000201325717973578,9,0.99582461641931,0.0000000154244638319607,0.0000364829160320165,0.99582461641931,same passage direction,0.994029797388005,1,0.994029797388005,TRUE
MET171,1.51_131.0713m/z,131.0712949,1.50795,"","","","",lower,-1.31590024362356,0.000191729682419275,ENSMUSG00000020577,Tspan13,lower,-1.49168045375107,0.0000000479403878854494,9,0.99582461641931,0.0000000154244638319607,0.0000364829160320165,0.99582461641931,same passage direction,0.994029797388005,1,0.994029797388005,TRUE
MET368,2.25_752.5228m/z,752.5228166,2.254233333,PC007,[PC 32:2] 16:1 (?9-Cis) PC,M+Na,C40H76NO8P,lower,-4.71543962201103,0.0000000000236152607834097,ENSMUSG00000109167,Gm44652,higher,1.14354450731113,0.000121837501261059,9,-0.99582461641931,0.0000000154244638319607,0.0000364829160320165,0.99582461641931,opposite passage direction,-1,-0.994029797388005,0.994029797388005,TRUE
MET503,2.73_339.2906m/z,339.2905782,2.732533333,"","","","",higher,2.1161835694328,0.00000580177795598712,ENSMUSG00000096960,A230028O05Rik,lower,-1.00136300753944,0.000932331729966911,9,-0.99582461641931,0.0000000154244638319607,0.0000364829160320165,0.99582461641931,opposite passage direction,-1,-0.994029797388005,0.994029797388005,TRUE
MET503,2.73_339.2906m/z,339.2905782,2.732533333,"","","","",higher,2.1161835694328,0.00000580177795598712,ENSMUSG00000094707,A830019P07Rik,higher,1.15097189260486,0.0000000000000470780419626501,9,0.99582461641931,0.0000000154244638319607,0.0000364829160320165,0.99582461641931,same passage direction,0.994029797388005,1,0.994029797388005,TRUE
MET503,2.73_339.2906m/z,339.2905782,2.732533333,"","","","",higher,2.1161835694328,0.00000580177795598712,ENSMUSG00000041797,Abca9,higher,1.42763467494861,0.0000000000133697717579744,9,0.99582461641931,0.0000000154244638319607,0.0000364829160320165,0.99582461641931,same passage direction,0.994029797388005,1,0.994029797388005,TRUE
MET503,2.73_339.2906m/z,339.2905782,2.732533333,"","","","",higher,2.1161835694328,0.00000580177795598712,ENSMUSG00000079355,Ackr4,higher,1.22439685611286,0.00000270503004000838,9,0.99582461641931,0.0000000154244638319607,0.0000364829160320165,0.99582461641931,same passage direction,0.994029797388005,1,0.994029797388005,TRUE
